left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,fbtext.stopped,feedback.stopped,the_end.started,end_txt.started,end_key.started,text.started,the_end.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
FR.png,FR.png,0,270,n,270,9,9,0,m,0,0.076411799993366,None,0,9,9,28,13.951706700026989,,,,,,,,,,,,,,,13.943181399954483,13.951706700026989,13.951706700026989,13.951706700026989,13.951706700026989,13.951706700026989,14.037680400069803,m,0,0.076411799993366,None,14.039397699991241,14.05064809997566,14.682262999936938,14.535760500002652,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,45,m,45,10,10,0,m,1,0.03569220006465912,None,0,10,10,19,14.682262999936938,,,,,,,,,,,,,,,14.64521549991332,14.682262999936938,14.682262999936938,14.682262999936938,14.682262999936938,14.682262999936938,14.722320900065824,m,1,0.03569220006465912,None,14.724180599907413,14.733338800026104,15.348596900003031,15.218779399991035,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,45,n,45,11,11,0,m,0,0.06120810005813837,None,0,11,11,2,15.348596900003031,,,,,,,,,,,,,,,15.31675329990685,15.348596900003031,15.348596900003031,15.348596900003031,15.348596900003031,15.348596900003031,15.419777699979022,m,0,0.06120810005813837,None,15.421573400031775,15.432767699938267,16.065518700052053,15.919125000014901,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,270,m,270,12,12,0,m,1,0.06674410006962717,None,0,12,12,29,16.065518700052053,,,,,,,,,,,,,,,16.027267700061202,16.065518700052053,16.065518700052053,16.065518700052053,16.065518700052053,16.065518700052053,16.136032599955797,m,1,0.06674410006962717,None,16.13771210005507,16.148580000037327,16.7634763000533,16.634233799995854,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,225,n,225,13,13,0,m,0,0.13677189988084137,None,0,13,13,10,16.7634763000533,,,,,,,,,,,,,,,16.738432500045747,16.7634763000533,16.7634763000533,16.7634763000533,16.7634763000533,16.7634763000533,16.903051299974322,m,0,0.13677189988084137,None,16.905334699898958,16.914985799929127,17.51279559987597,17.399969700025395,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,135,m,135,14,14,0,m,1,0.11543480004183948,None,0,14,14,23,17.51279559987597,,,,,,,,,,,,,,,17.489250699989498,17.51279559987597,17.51279559987597,17.51279559987597,17.51279559987597,17.51279559987597,17.634263899875805,m,1,0.11543480004183948,None,17.636251999996603,17.647312100045383,18.295754000078887,18.132361100055277,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,225,n,225,15,15,0,m,0,0.0793322001118213,None,0,15,15,26,18.295754000078887,,,,,,,,,,,,,,,18.25836080010049,18.295754000078887,18.295754000078887,18.295754000078887,18.295754000078887,18.295754000078887,18.38343090005219,m,0,0.0793322001118213,None,18.385365299880505,18.39667719998397,,18.89808279997669,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,225,m,225,16,16,0,m,1,0.06230590003542602,None,0,16,16,11,19.0281211999245,,,,,,,,,,,,,,,18.99759480007924,19.0281211999245,19.0281211999245,19.0281211999245,19.0281211999245,19.0281211999245,19.099560800008476,m,1,0.06230590003542602,None,19.101227500010282,19.112576300045475,19.717991800047457,19.597818600013852,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,45,m,45,17,17,0,m,1,0.1229946999810636,None,0,17,17,3,19.717991800047457,,,,,,,,,,,,,,,19.69503919989802,19.717991800047457,19.717991800047457,19.717991800047457,19.717991800047457,19.717991800047457,19.848679499933496,m,1,0.1229946999810636,None,19.848932900000364,19.861745700007305,20.48619750002399,20.347338000079617,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,180,m,180,18,18,0,m,1,0.12558750016614795,None,0,18,18,25,20.48619750002399,,,,,,,,,,,,,,,20.448842100100592,20.48619750002399,20.48619750002399,20.48619750002399,20.48619750002399,20.48619750002399,20.61461489996873,m,1,0.12558750016614795,None,20.614928599912673,20.627632499905303,21.23359979991801,21.112615699879825,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
