left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,feedback.stopped,fbtext.stopped,the_end.started,end_txt.started,end_key.started,text.started,session,participant,date,expName,psychopyVersion,frameRate,expStart,
FR.png,FR.png,0,270,n,270,20,20,0,m,0,0.016141100088134408,None,0,20,20,28,15.22463670000434,,,,,,,,,,,,,,,15.200035699876025,15.22463670000434,15.22463670000434,15.22463670000434,15.22463670000434,15.22463670000434,15.255974299972877,m,0,0.016141100088134408,None,15.257786300033331,15.26902040001005,15.753911999985576,15.874300400028005,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,FR.png,0,135,n,135,21,21,0,n,1,0.02838439983315766,None,0,21,21,22,15.874300400028005,,,,,,,,,,,,,,,15.85376919992268,15.874300400028005,15.874300400028005,15.874300400028005,15.874300400028005,15.874300400028005,15.905796400038525,n,1,0.02838439983315766,None,15.907558599952608,15.918299800017849,16.40346909989603,16.533382500056177,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,90,m,90,22,22,0,n,0,0.01040400005877018,None,0,22,22,21,16.533382500056177,,,,,,,,,,,,,,,16.50307339988649,16.533382500056177,16.533382500056177,16.533382500056177,16.533382500056177,16.533382500056177,16.55464469990693,n,0,0.01040400005877018,None,16.556593999965116,16.567357799969614,17.053049499867484,17.172925299964845,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,225,m,225,23,23,0,m,1,0.0372057999484241,None,0,23,23,27,17.172925299964845,,,,,,,,,,,,,,,17.158829599851742,17.172925299964845,17.172925299964845,17.172925299964845,17.172925299964845,17.172925299964845,17.22070589987561,m,1,0.0372057999484241,None,17.222421600017697,17.233526299940422,17.719063200056553,17.858160599833354,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,135,m,135,24,24,0,m,1,0.0746451998129487,None,0,24,24,7,17.858160599833354,,,,,,,,,,,,,,,17.815410800045356,17.858160599833354,17.858160599833354,17.858160599833354,17.858160599833354,17.858160599833354,17.936749099986628,m,1,0.0746451998129487,None,17.93701560003683,17.949342699954286,18.434767300030217,18.554573099827394,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,0,m,0,25,25,0,m,1,0.06973680015653372,None,0,25,25,1,18.554573099827394,,,,,,,,,,,,,,,18.53399599995464,18.554573099827394,18.554573099827394,18.554573099827394,18.554573099827394,18.554573099827394,18.63568970002234,m,1,0.06973680015653372,None,18.635981699917465,18.649100000038743,19.134341299999505,19.26328819990158,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,FR.png,0,90,n,90,26,26,0,m,0,0.04516520001925528,None,0,26,26,20,19.26328819990158,,,,,,,,,,,,,,,19.235357200028375,19.26328819990158,19.26328819990158,19.26328819990158,19.26328819990158,19.26328819990158,19.318621200043708,m,0,0.04516520001925528,None,19.32056330004707,19.332619299879298,19.832806899910793,,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,270,n,270,27,27,0,m,0,0.06577789993025362,None,0,27,27,12,19.973145799944177,,,,,,,,,,,,,,,19.932172699831426,19.973145799944177,19.973145799944177,19.973145799944177,19.973145799944177,19.973145799944177,20.050923599861562,m,0,0.06577789993025362,None,20.051255299942568,20.06429159990512,20.549330399837345,20.679144599940628,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,45,m,45,28,28,0,m,1,0.07469440018758178,None,0,28,28,19,20.679144599940628,,,,,,,,,,,,,,,20.65615459997207,20.679144599940628,20.679144599940628,20.679144599940628,20.679144599940628,20.679144599940628,20.76730199996382,m,1,0.07469440018758178,None,20.76905529992655,20.780068299965933,21.265307599911466,21.404986900044605,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,225,m,225,29,29,0,m,1,0.11706689978018403,None,0,29,29,11,21.404986900044605,,,,,,,,,,,,,,,21.366229600040242,21.404986900044605,21.404986900044605,21.404986900044605,21.404986900044605,21.404986900044605,21.533150299917907,m,1,0.11706689978018403,None,21.533433699980378,21.546222999924794,22.031530699925497,22.189839700004086,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,180,m,180,30,30,0,m,1,0.2791383999865502,None,0,30,30,25,22.189839700004086,,,,,,,,,,,,,,,22.14986260002479,22.189839700004086,22.189839700004086,22.189839700004086,22.189839700004086,22.189839700004086,22.48285479983315,m,1,0.2791383999865502,None,22.48321449989453,22.495037999935448,22.980484299827367,23.110556399915367,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,315,n,315,31,31,0,m,0,0.2701288000680506,None,0,31,31,14,23.110556399915367,,,,,,,,,,,,,,,23.082165099913254,23.110556399915367,23.110556399915367,23.110556399915367,23.110556399915367,23.110556399915367,23.381893299985677,m,0,0.2701288000680506,None,23.38360309996642,23.394142400007695,23.879602199885994,23.8938747998327,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88491200003773,23.8938747998327,23.8938747998327,23.8938747998327,,,,,,,,
